developer_id,developer_name
1,Nintendo
2,Unknown
3,Good Science Studio
4,Rockstar North
5,Polyphony Digital
6,"Infinity Ward, Sledgehammer Games"
7,Treyarch
8,Infinity Ward
9,DMA Design
10,Game Arts
11,"Retro Studios, Entertainment Analysis & Development Division"
12,"Bungie Software, Bungie"
13,Ubisoft
14,Bungie
15,SquareSoft
16,343 Industries
17,Hudson Soft
18,Bethesda Game Studios
19,EA Sports
20,Bungie Software
21,Nd Cube
22,Hudson
23,Electronic Arts
24,The Sims Studio
25,Game Freak
26,Rockstar Leeds
27,Sledgehammer Games
28,"EA Sports, EA Vancouver"
29,Nintendo EAD Tokyo
30,EA DICE
31,EA Black Box
32,Ubisoft Paris
33,Namco
34,Naughty Dog
35,HAL Labs
36,EA Canada
37,EA LA
38,Epic Games
39,"Pipeworks Software, Inc."
40,Rockstar San Diego
41,Retro Studios
42,Blizzard Entertainment
43,Reflections Interactive
44,Rare Ltd.
45,KCEJ
46,Kojima Productions
47,Square Enix
48,"SCE/WWS, Media Molecule"
49,Capcom
50,Level 5
51,Traveller's Tales
52,Taito Corporation
53,Ubisoft Montreal
54,Turn 10
55,Rocksteady Studios
56,Intelligent Systems
57,Core Design Ltd.
58,EA Tiburon
59,Harmonix Music Systems
60,Lionhead Studios
61,Neversoft Entertainment
62,"Neversoft Entertainment, BudCat"
63,"Naughty Dog, SCE/WWS"
64,SCE Santa Monica
65,TT Fusion
66,Stormfront Studios
67,Bluepoint Games
68,Vicarious Visions
69,Next Level Games
70,Konami
71,Bethesda Softworks
72,"Ubisoft Paris, Ubisoft Montpellier"
73,High Moon Studios
74,Insomniac Games
75,Mass Media
76,Ready at Dawn
77,"SCEE, Zoe Mode"
78,Valve Software
79,Obsidian Entertainment
80,Cat Daddy Games
81,Digital Eclipse
82,CD Projekt Red Studio
83,"Ubisoft, Ubisoft Montreal"
84,Visual Concepts
85,Evolution Studios
86,KCET
87,"SCEA, Zindagi Games"
88,"Nintendo, Namco Bandai Games"
89,Massive Entertainment
90,Maxis
91,Argonaut Games
92,TOSE
93,Zipper Interactive
94,Pandemic Studios
95,Fox Interactive
96,Office Create
97,Team Soho
98,EA Redwood Shores
99,Certain Affinity
100,Agenda
101,Gearbox Software
102,"Kojima Productions, Moby Dick Studio"
103,Media Molecule
104,Eurocom Entertainment Software
105,Ubisoft Quebec
106,Double Helix Games
107,Rockstar Toronto
108,EA Games
109,"Splash Damage, The Coalition"
110,"Luxoflux, Inc."
111,Shiny Entertainment
112,Team Bondi
113,1st Playable Productions
114,"Dimps Corporation, Sonic Team"
115,Indies Zero
116,4J Studios
117,BioWare
118,Dimps Corporation
119,Quantic Dream
120,Volition Inc.
121,Guerrilla
122,Junction Point
123,"Spike, Namco Bandai Games"
124,"LucasArts, BioWare"
125,Monolith Productions
126,Sonic Team
127,Io Interactive
128,Respawn Entertainment
129,Sucker Punch
130,Sumo Digital
131,Clap Hanz
132,OfficeCreate
133,Spark Unlimited
134,NetherRealm Studios
135,"Irrational Games, 2K Marin"
136,"Majesco Games, Majesco"
137,"EA DICE, Danger Close"
138,Virtual Toys
139,NuFX
140,Criterion Games
141,Toys for Bob
142,"Warner Bros. Interactive Entertainment, NetherRealm Studios"
143,Edge of Reality
144,LucasArts
145,Artoon
146,Namco Bandai Games
147,Dreamworks Interactive
148,Big Blue Box
149,DC Studios
150,Ubisoft Shanghai
151,Slightly Mad Studios
152,Team Fusion
153,Angel Studios
154,Ensemble Studios
155,"Dice, Danger Close"
156,syn Sophia
157,Yuke's
158,Genius Sonority Inc.
159,Acclaim Studios Cheltenham
160,Headstrong Games
161,CAProduction
162,Raven Software
163,Midway
164,From Software
165,Black Rock Studio
166,Cyan Worlds
167,THQ
168,Rainbow Studios
169,Black Box
170,Bullfrog Productions
171,Konami Computer Entertainment Hawaii
172,Techland
173,Heavy Iron Studios
174,Frontier Developments
175,GREZZO
176,"Rare Ltd., BigPark"
177,ArenaNet
178,WB Games Montreal
179,"HAL Labs, Creatures Inc."
180,Backbone Entertainment
181,Sega
182,Exakt
183,TT Games
184,2K Marin
185,5TH Cell
186,Beenox
187,Amaze Entertainment
188,Bizarre Creations
189,Omega Force
190,Visceral Games
