game_name,platform,year_of_release,genre,na_sales,eu_sales,jp_sales,other_sales,global_sales,critic_score,critic_count,user_score,user_count,rating,fk_publisher_id,fk_developer_id
Wii Sports,Wii,2006,Sports,41.36,28.96,3.77,8.45,82.53,76.0,51.0,8.0,322.0,E,1,1
Super Mario Bros.,NES,1985,Platform,29.08,3.58,6.81,0.77,40.24,,,,,,1,2
Mario Kart Wii,Wii,2008,Racing,15.68,12.76,3.79,3.29,35.52,82.0,73.0,8.3,709.0,E,1,1
Wii Sports Resort,Wii,2009,Sports,15.61,10.93,3.28,2.95,32.77,80.0,73.0,8.0,192.0,E,1,1
Pokemon Red/Pokemon Blue,GB,1996,Role-Playing,11.27,8.89,10.22,1.0,31.37,,,,,,1,2
Tetris,GB,1989,Puzzle,23.2,2.26,4.22,0.58,30.26,,,,,,1,2
New Super Mario Bros.,DS,2006,Platform,11.28,9.14,6.5,2.88,29.8,89.0,65.0,8.5,431.0,E,1,1
Wii Play,Wii,2006,Misc,13.96,9.18,2.93,2.84,28.92,58.0,41.0,6.6,129.0,E,1,1
New Super Mario Bros. Wii,Wii,2009,Platform,14.44,6.94,4.7,2.24,28.32,87.0,80.0,8.4,594.0,E,1,1
Duck Hunt,NES,1984,Shooter,26.93,0.63,0.28,0.47,28.31,,,,,,1,2
Nintendogs,DS,2005,Simulation,9.05,10.95,1.93,2.74,24.67,,,,,,1,2
Mario Kart DS,DS,2005,Racing,9.71,7.47,4.13,1.9,23.21,91.0,64.0,8.6,464.0,E,1,1
Pokemon Gold/Pokemon Silver,GB,1999,Role-Playing,9.0,6.18,7.2,0.71,23.1,,,,,,1,2
Wii Fit,Wii,2007,Sports,8.92,8.03,3.6,2.15,22.7,80.0,63.0,7.7,146.0,E,1,1
Kinect Adventures!,X360,2010,Misc,15.0,4.89,0.24,1.69,21.81,61.0,45.0,6.3,106.0,E,2,3
Wii Fit Plus,Wii,2009,Sports,9.01,8.49,2.53,1.77,21.79,80.0,33.0,7.4,52.0,E,1,1
Grand Theft Auto V,PS3,2013,Action,7.02,9.09,0.98,3.96,21.04,97.0,50.0,8.2,3994.0,M,3,4
Grand Theft Auto: San Andreas,PS2,2004,Action,9.43,0.4,0.41,10.57,20.81,95.0,80.0,9.0,1588.0,M,3,4
Super Mario World,SNES,1990,Platform,12.78,3.75,3.54,0.55,20.61,,,,,,1,2
Brain Age: Train Your Brain in Minutes a Day,DS,2005,Misc,4.74,9.2,4.16,2.04,20.15,77.0,58.0,7.9,50.0,E,1,1
Pokemon Diamond/Pokemon Pearl,DS,2006,Role-Playing,6.38,4.46,6.04,1.36,18.25,,,,,,1,2
Super Mario Land,GB,1989,Platform,10.83,2.71,4.18,0.42,18.14,,,,,,1,2
Super Mario Bros. 3,NES,1988,Platform,9.54,3.44,3.84,0.46,17.28,,,,,,1,2
Grand Theft Auto V,X360,2013,Action,9.66,5.14,0.06,1.41,16.27,97.0,58.0,8.1,3711.0,M,3,4
Grand Theft Auto: Vice City,PS2,2002,Action,8.41,5.49,0.47,1.78,16.15,95.0,62.0,8.7,730.0,M,3,4
Pokemon Ruby/Pokemon Sapphire,GBA,2002,Role-Playing,6.06,3.9,5.38,0.5,15.85,,,,,,1,2
Brain Age 2: More Training in Minutes a Day,DS,2005,Puzzle,3.43,5.35,5.32,1.18,15.29,77.0,37.0,7.1,19.0,E,1,1
Pokemon Black/Pokemon White,DS,2010,Role-Playing,5.51,3.17,5.65,0.8,15.14,,,,,,1,2
Gran Turismo 3: A-Spec,PS2,2001,Racing,6.85,5.09,1.87,1.16,14.98,95.0,54.0,8.4,314.0,E,4,5
Call of Duty: Modern Warfare 3,X360,2011,Shooter,9.04,4.24,0.13,1.32,14.73,88.0,81.0,3.4,8713.0,M,5,6
Pokémon Yellow: Special Pikachu Edition,GB,1998,Role-Playing,5.89,5.04,3.12,0.59,14.64,,,,,,1,2
Call of Duty: Black Ops 3,PS4,2015,Shooter,6.03,5.86,0.36,2.38,14.63,,,,,,5,2
Call of Duty: Black Ops,X360,2010,Shooter,9.7,3.68,0.11,1.13,14.61,87.0,89.0,6.3,1454.0,M,5,7
Pokemon X/Pokemon Y,3DS,2013,Role-Playing,5.28,4.19,4.35,0.78,14.6,,,,,,1,2
Call of Duty: Black Ops II,PS3,2012,Shooter,4.99,5.73,0.65,2.42,13.79,83.0,21.0,5.3,922.0,M,5,7
Call of Duty: Black Ops II,X360,2012,Shooter,8.25,4.24,0.07,1.12,13.67,83.0,73.0,4.8,2256.0,M,5,7
Call of Duty: Modern Warfare 2,X360,2009,Shooter,8.52,3.59,0.08,1.28,13.47,94.0,100.0,6.3,2698.0,M,5,8
Call of Duty: Modern Warfare 3,PS3,2011,Shooter,5.54,5.73,0.49,1.57,13.32,88.0,39.0,3.2,5234.0,M,5,6
Grand Theft Auto III,PS2,2001,Action,6.99,4.51,0.3,1.3,13.1,97.0,56.0,8.5,664.0,M,3,9
Super Smash Bros. Brawl,Wii,2008,Fighting,6.62,2.55,2.66,1.01,12.84,93.0,81.0,8.9,1662.0,T,1,10
Mario Kart 7,3DS,2011,Racing,5.03,4.02,2.69,0.91,12.66,85.0,73.0,8.2,632.0,E,1,11
Call of Duty: Black Ops,PS3,2010,Shooter,5.99,4.37,0.48,1.79,12.63,88.0,58.0,6.4,1094.0,M,5,7
Grand Theft Auto V,PS4,2014,Action,3.96,6.31,0.38,1.97,12.61,97.0,66.0,8.3,2899.0,M,3,4
Animal Crossing: Wild World,DS,2005,Simulation,2.5,3.45,5.33,0.86,12.13,86.0,57.0,8.7,242.0,E,1,1
Halo 3,X360,2007,Shooter,7.97,2.81,0.13,1.21,12.12,94.0,86.0,7.8,4100.0,M,2,12
Super Mario 64,N64,1996,Platform,6.91,2.85,1.91,0.23,11.89,,,,,,1,2
Pokemon HeartGold/Pokemon SoulSilver,DS,2009,Action,4.34,2.71,3.96,0.76,11.77,,,,,,1,2
Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,2014,Role-Playing,4.35,3.49,3.1,0.74,11.68,,,,,,1,2
Gran Turismo 4,PS2,2004,Racing,3.01,0.01,1.1,7.53,11.66,89.0,74.0,8.5,272.0,E,4,5
Super Mario Galaxy,Wii,2007,Platform,6.06,3.35,1.2,0.74,11.35,97.0,73.0,8.9,2147.0,E,1,1
Super Mario Land 2: 6 Golden Coins,GB,1992,Adventure,6.16,2.04,2.69,0.29,11.18,,,,,,1,2
Grand Theft Auto IV,X360,2008,Action,6.76,3.07,0.14,1.03,11.01,98.0,86.0,7.9,2951.0,M,3,4
Gran Turismo,PS,1997,Racing,4.02,3.87,2.54,0.52,10.95,96.0,16.0,8.7,138.0,E,4,5
Super Mario 3D Land,3DS,2011,Platform,4.89,3.0,2.14,0.78,10.81,90.0,82.0,8.4,921.0,E,1,1
Gran Turismo 5,PS3,2010,Racing,2.96,4.82,0.81,2.11,10.7,84.0,82.0,7.5,1112.0,E,4,5
Call of Duty: Modern Warfare 2,PS3,2009,Shooter,4.99,3.64,0.38,1.6,10.6,94.0,67.0,6.3,2073.0,M,5,8
Super Mario All-Stars,SNES,1993,Platform,5.99,2.15,2.12,0.29,10.55,,,,,,1,2
Grand Theft Auto IV,PS3,2008,Action,4.76,3.69,0.44,1.61,10.5,98.0,64.0,7.5,2833.0,M,3,4
Pokemon FireRed/Pokemon LeafGreen,GBA,2004,Role-Playing,4.34,2.65,3.15,0.35,10.49,,,,,,1,2
Super Mario 64,DS,2004,Platform,5.01,3.07,1.25,0.97,10.3,,,,,,1,2
Call of Duty: Ghosts,X360,2013,Shooter,6.73,2.56,0.04,0.91,10.25,73.0,29.0,2.6,2117.0,M,5,8
Just Dance 3,Wii,2011,Misc,5.95,3.11,0.0,1.06,10.12,74.0,15.0,7.8,16.0,E10+,6,13
New Super Mario Bros. 2,3DS,2012,Platform,3.66,3.14,2.47,0.63,9.9,78.0,70.0,7.2,424.0,E,1,1
Mario Kart 64,N64,1996,Racing,5.55,1.94,2.23,0.15,9.87,,,,,,1,2
Halo: Reach,X360,2010,Shooter,7.04,1.95,0.08,0.79,9.86,91.0,99.0,7.9,2045.0,M,2,14
Final Fantasy VII,PS,1997,Role-Playing,3.01,2.47,3.28,0.96,9.72,92.0,20.0,9.2,1282.0,T,4,15
Halo 4,X360,2012,Shooter,6.65,2.28,0.04,0.74,9.71,87.0,87.0,7.0,3260.0,M,2,16
Gran Turismo 2,PS,1999,Racing,3.88,3.42,1.69,0.5,9.49,93.0,23.0,9.0,135.0,T,4,5
Just Dance 2,Wii,2010,Misc,5.8,2.85,0.01,0.78,9.44,74.0,24.0,7.3,24.0,E10+,6,13
