publisher_id,publisher_name
1,Nintendo
2,Microsoft Game Studios
3,Take-Two Interactive
4,Sony Computer Entertainment
5,Activision
6,Ubisoft
7,Bethesda Softworks
8,Electronic Arts
9,Sega
10,SquareSoft
11,Atari
12,505 Games
13,Capcom
14,GT Interactive
15,Konami Digital Entertainment
16,Square Enix
17,Sony Computer Entertainment Europe
18,Virgin Interactive
19,LucasArts
20,Warner Bros. Interactive Entertainment
21,Universal Interactive
22,Eidos Interactive
23,RedOctane
24,Vivendi Games
25,Enix Corporation
26,Namco Bandai Games
27,Palcom
28,Hasbro Interactive
29,THQ
30,Fox Interactive
31,Acclaim Entertainment
32,MTV Games
33,Disney Interactive Studios
34,Unknown
35,Codemasters
36,Majesco Entertainment
37,Red Orb
38,Level 5
39,Arena Entertainment
40,Midway Games
41,JVC
42,Deep Silver
43,NCSoft
44,989 Studios
45,UEP Systems
46,Parker Bros.
47,Maxis
48,Imagic
49,Tecmo Koei
50,ASCII Entertainment
51,Valve Software
52,Mindscape
53,Infogrames
54,Square
55,Valve
56,Banpresto
57,Hello Games
58,D3Publisher
59,Activision Value
60,Oxygen Interactive
61,Red Storm Entertainment
62,Video System
63,Global Star
64,Gotham Games
65,Westwood Studios
66,GungHo
67,Crave Entertainment
68,Hudson Soft
69,Coleco
70,Rising Star Games
71,TDK Mediactive
72,ASC Games
73,Accolade
74,Zoo Games
75,Sony Online Entertainment
76,3DO
77,Natsume
78,RTL
79,Alchemist
80,Black Label Games
81,SouthPeak Games
82,Focus Home Interactive
83,Ocean
84,Zoo Digital Publishing
85,Psygnosis
86,City Interactive
87,Empire Interactive
88,Success
89,Compile
90,Russel
91,Atlus
92,Mastertronic
93,Slightly Mad Studios
94,Taito
95,Agetec
96,Microprose
97,Play It
98,GSP
99,Tomy Corporation
100,Sammy Corporation
101,Koch Media
102,Game Factory
103,Titus
104,Marvelous Entertainment
105,Genki
106,Mojang
107,CTO SpA
108,TalonSoft
109,Crystal Dynamics
110,Square Enix 
111,"mixi, Inc"
112,Pinnacle
113,SCi
114,Quelle
115,Rage Software
116,Ubisoft Annecy
117,Interplay
118,Scholastic Inc.
119,Mystique
120,ChunSoft
121,Square EA
122,20th Century Fox Video Games
123,Hudson Entertainment
124,Men-A-Vision
125,Nobilis
126,Avanquest Software
127,Big Ben Interactive
128,Nordic Games
129,Touchstone
130,Spike
131,Nippon Ichi Software
132,Sony Computer Entertainment America
133,Jester Interactive
134,LEGO Media
135,Quest
136,Illusion Softworks
137,Tigervision
138,Rocket Company
139,Metro 3D
140,Mattel Interactive
141,IE Institute
142,Funbox Media
143,Rondomedia
144,Universal Gamex
145,Ghostlight
146,Wizard Video Games
147,BMG Interactive Entertainment
148,PQube
149,Trion Worlds
150,Xseed Games
151,Laguna
152,Takara
153,Ignition Entertainment
154,Kadokawa Shoten
155,Enterbrain
156,Imagineer
157,CPG Products
158,System 3 Arcade Software
159,Aruze Corp
160,Destineer
161,Gamebridge
